site,long,lat
pedima,-110.12964,24.03441
pedima,-110.12964,24.03626
pedima,-110.12961,24.03277
pedima,-110.12954,24.03276
pedima,-110.12952,24.03525
pedima,-110.12949,24.03343
pedima,-110.12917,24.03188
pedima,-110.12113,24.0254
pedima,-110.1091,23.08984
pedima,-110.10814,24.0222
pedima,-110.1068,24.01752
pedima,-110.10664,24.01749
pedima,-110.10623,24.01711
pedima,-110.106,24.01714
pedima,-110.10582,24.01715
pedima,-110.10484,24.0161
pedima,-110.1048,24.01608
pedima,-110.10478,24.01617
pedima,-110.10432,24.01945
pedima,-110.10429,23.2855
pedima,-110.10425,24.0174
pedima,-110.10419,24.01726
pedima,-110.104,24.02029
pedima,-110.10385,24.01734
pedima,-110.1032,24.01982
pedima,-110.10318,24.01986
pedima,-110.0995,24.01886
pedima,-110.09944,24.01884
pedima,-110.0977,24.02074
pedima,-110.09732,24.01761
pedima,-110.09726,24.01741
pedima,-110.09717,24.02036
pedima,-110.09709,24.01889
pedima,-110.09708,24.02095
pedima,-110.09707,24.01881
pedima,-110.09705,24.02008
pedima,-110.09682,24.0207
pedima,-110.09641,24.01951
pedima,-110.09624,24.02092
pedima,-110.09605,24.01782
pedima,-110.09591,24.01712
pedima,-110.09551,24.01828
pedima,-110.09551,24.01856
pedima,-110.09544,24.01823
pedima,-110.09478,24.01642
pedima,-110.09474,24.0163
pedima,-110.09474,24.01637
pedima,-110.09398,24.01567
pedima,-110.09372,24.01754
pedima,-110.09358,24.01673
pedima,-110.09355,24.01704
pedima,-110.0933,24.01682
pedima,-110.09303,24.01656
pedima,-110.09187,24.02054
pedima,-110.09149,24.02071
pedima,-110.09076,24.02061
pedima,-110.09072,24.02081
pedima,-110.09069,24.02083
pedima,-110.09068,24.02084
pedima,-110.09065,24.01907
pedima,-110.09059,24.01914
pedima,-110.09058,24.01917
pedima,-110.09053,24.01921
pedima,-110.09042,24.01918
pedima,-110.09037,24.01876
pedima,-110.09034,24.0184
pedima,-110.0903,24.01861
pedima,-110.09022,24.01802
pedima,-110.09009,24.01789
pedima,-110.09003,24.01979
pedima,-110.08978,24.02005
pedima,-110.08974,24.01809
pedima,-110.08953,24.01795
pedima,-110.0895,24.01913
pedima,-110.08942,24.01841
pedima,-110.08942,24.01857
pedima,-110.0894,24.01809
pedima,-110.0894,24.01841
pedima,-110.04175,22.9775
pedima,-110.03965,23.81265
pedima,-109.99242,22.94391
pedima,-109.98864,24.04379
pedima,-109.86954,23.74051
pedima,-109.86942,23.74053
pedima,-109.85071,24.00789
pedima,-109.8484,23.73647
pedima,-109.84714,22.92155
pedima,-109.84475,23.71141
pedima,-109.84383,23.73652
pedima,-109.84381,23.73667
pedima,-109.84307,23.73368
pedima,-109.84244,23.73435
pedima,-109.84189,23.73408
pedima,-109.84181,23.73198
pedima,-109.84168,23.73499
pedima,-109.84167,23.73205
pedima,-109.84154,23.73415
pedima,-109.84141,23.73537
pedima,-109.8414,23.73217
pedima,-109.84127,23.7317
pedima,-109.84124,23.73532
pedima,-109.84106,23.70696
pedima,-109.84087,22.92443
pedima,-109.83997,23.7068
pedima,-109.83287,24.05973
pedima,-109.83203,23.74061
pedima,-109.83171,23.74122
pedima,-109.83161,23.74052
pedima,-109.83121,23.74112
pedima,-109.83078,23.74097
pedima,-109.8305,23.74058
pedima,-109.83008,23.74068
pedima,-109.82957,23.74188
pedima,-109.82928,23.74177
pedima,-109.82873,23.74123
pedima,-109.82817,23.7417
pedima,-109.82329,23.74241
pedima,-109.82299,23.73942
pedima,-109.82294,23.74251
pedima,-109.82239,23.73926
pedima,-109.82173,23.73841
pedima,-109.82173,23.74084
pedima,-109.82171,23.74143
pedima,-109.82168,23.74065
pedima,-109.82165,23.74102
pedima,-109.82155,23.74066
pedima,-109.82035,23.73874
pedima,-109.81882,23.73888
pedima,-109.81815,23.73892
pedima,-109.81814,23.7389
pedima,-109.81808,23.73892
pedima,-109.81806,23.73896
pedima,-109.81799,23.73801
pedima,-109.81684,23.73919
pedima,-109.81668,23.73911
pedima,-109.81667,23.73908
pedima,-109.81667,23.73928
pedima,-109.81664,23.73893
pedima,-109.81663,23.73909
pedima,-109.81663,23.73926
pedima,-109.81643,23.73882
pedima,-109.8164,23.73805
pedima,-109.81637,23.73897
pedima,-109.81617,23.73838
pedima,-109.81612,23.73801
pedima,-109.81571,23.73869
pedima,-109.81538,23.73747
pedima,-109.81087,23.54917
pedima,-109.77623,23.71803
pedima,-109.76000,22.98758
pedima,-109.76000,22.98757
pedima,-109.71868,23.03045
pedima,-109.71089,23.66887
pedima,-109.67891,27.08546
pedima,-109.64869,23.0757
pedima,-109.62037,23.57166
pedima,-109.52224,23.57066
pedima,-109.46958,23.5532
pedima,-109.35906,28.48525
pedima,-109.32165,28.0779
pedima,-109.12633,26.38014
pedima,-109.12633,26.38014
pedima,-109.04136,27.06706
